appointmentReason,appointmentComments,appointmentId,statusCode,scenario
"Agendamento para Instalação de Fibra","{\n  \"appointment\": {\n    \"slot\": {\n      \"id\": \"bff13821-73c3-42cc-9327-b05c7df5a67f\"\n    },\n    \"reason\": \"Agendamento para Instalação de Fibra\"\n  }\n}",SA-562403,200,successful operation
"Agendamento para Instalação de Fibra","{\n  \"appointment\": {\n    \"slot\": {\n      \"id\": \"bff13821-73c3-42cc-9327-b05c7df5a67f\"\n    },\n    \"reason\": \"Agendamento para Instalação de Fibra\"\n  }\n}",SA-562403,400,Bad Request
"Agendamento para Instalação de Fibra","{\n  \"appointment\": {\n    \"slot\": {\n      \"id\": \"bff13821-73c3-42cc-9327-b05c7df5a67f\"\n    },\n    \"reason\": \"Agendamento para Instalação de Fibra\"\n  }\n}",SA-562403,401,Unauthorized
"Agendamento para Instalação de Fibra","{\n  \"appointment\": {\n    \"slot\": {\n      \"id\": \"bff13821-73c3-42cc-9327-b05c7df5a67f\"\n    },\n    \"reason\": \"Agendamento para Instalação de Fibra\"\n  }\n}",SA-562403,403,Forbidden - Scope Not Permitted
"Agendamento para Instalação de Fibra","{\n  \"appointment\": {\n    \"slot\": {\n      \"id\": \"bff13821-73c3-42cc-9327-b05c7df5a67f\"\n    },\n    \"reason\": \"Agendamento para Instalação de Fibra\"\n  }\n}",SA-562403,404,Not Found
"Agendamento para Instalação de Fibra","{\n  \"appointment\": {\n    \"slot\": {\n      \"id\": \"bff13821-73c3-42cc-9327-b05c7df5a67f\"\n    },\n    \"reason\": \"Agendamento para Instalação de Fibra\"\n  }\n}",SA-562403,406,Not Acceptable
"Agendamento para Instalação de Fibra","{\n  \"appointment\": {\n    \"slot\": {\n      \"id\": \"bff13821-73c3-42cc-9327-b05c7df5a67f\"\n    },\n    \"reason\": \"Agendamento para Instalação de Fibra\"\n  }\n}",SA-562403,412,Not Acceptable
"Agendamento para Instalação de Fibra","{\n  \"appointment\": {\n    \"slot\": {\n      \"id\": \"bff13821-73c3-42cc-9327-b05c7df5a67f\"\n    },\n    \"reason\": \"Agendamento para Instalação de Fibra\"\n  }\n}",SA-562403,423,Locked
"Agendamento para Instalação de Fibra","{\n  \"appointment\": {\n    \"slot\": {\n      \"id\": \"bff13821-73c3-42cc-9327-b05c7df5a67f\"\n    },\n    \"reason\": \"Agendamento para Instalação de Fibra\"\n  }\n}",SA-562403,429,Too Many Requests - Exceeded Quota
"Agendamento para Instalação de Fibra","{\n  \"appointment\": {\n    \"slot\": {\n      \"id\": \"bff13821-73c3-42cc-9327-b05c7df5a67f\"\n    },\n    \"reason\": \"Agendamento para Instalação de Fibra\"\n  }\n}",SA-562403,500,Internal Server Error
"Agendamento para Instalação de Fibra","{\n  \"appointment\": {\n    \"slot\": {\n      \"id\": \"bff13821-73c3-42cc-9327-b05c7df5a67f\"\n    },\n    \"reason\": \"Agendamento para Instalação de Fibra\"\n  }\n}",SA-562403,503,Service Unavailable
"Agendamento para Instalação de Fibra","{\n  \"appointment\": {\n    \"slot\": {\n      \"id\": \"bff13821-73c3-42cc-9327-b05c7df5a67f\"\n    },\n    \"reason\": \"Agendamento para Instalação de Fibra\"\n  }\n}",SA-562403,504,Gateway Timeout
